PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_M_u_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-67	chr11	120328848	120348451	+	0	NA	intron (NM_015313, intron 1 of 40)	intron (NM_015313, intron 1 of 40)	2236	NM_001198665	23365		NM_015313	ENSG00000196914	ARHGEF12	LARG|PRO2792	Rho guanine nucleotide exchange factor 12	protein-coding
*-12	chr4	113435198	113476701	+	0	NA	intron (NM_001321571, intron 19 of 20)	intron (NM_001321571, intron 19 of 20)	163110	NM_001354282	287		NM_001148	ENSG00000145362	ANK2	ANK-2|CFAP87|FAP87|LQT4|brank-2	ankyrin 2	protein-coding
*-324	chr8	40148698	40220751	+	0	NA	Intergenic	MLT1A0|LTR|ERVL-MaLR	31242	NM_020130	56892		NM_020130	ENSG00000176907	TCIM	C8orf4|TC-1|TC1	transcriptional and immune response regulator	protein-coding
*-48	chr11	9750848	9817401	+	0	NA	intron (NM_030962, intron 38 of 39)	intron (NM_030962, intron 38 of 39)	-24591	NR_033972	440028		NR_033972	ENSG00000245522	LINC02709	-	long intergenic non-protein coding RNA 2709	ncRNA
*-202	chr3	30333898	30359151	+	0	NA	Intergenic	Intergenic	-172344	NR_147054	101928015		NR_147054	ENSG00000227260	LINC01985	-	long intergenic non-protein coding RNA 1985	ncRNA
*-86	chr5	154342198	154376051	+	0	NA	intron (NM_198321, intron 4 of 11)	intron (NM_198321, intron 4 of 11)	12018	NR_031626	100302181		NR_031626	ENSG00000221430	MIR1294	MIRN1294|hsa-mir-1294|mir-1294	microRNA 1294	ncRNA
*-326	chr8	58800198	58896151	+	0	NA	intron (NM_014729, intron 4 of 8)	L1MEd|LINE|L1	-188321	NM_003580	8439		NM_003580	ENSG00000035681	NSMAF	FAN|GRAMD5	neutral sphingomyelinase activation associated factor	protein-coding
*-173	chr17	59622687	59699401	+	0	NA	intron (NM_004859, intron 7 of 31)	intron (NM_004859, intron 7 of 31)	41149	NM_004859	1213		NM_004859	ENSG00000141367	CLTC	CHC|CHC17|CLH-17|CLTCL2|Hc|MRD56	clathrin heavy chain	protein-coding
*-212	chr3	112604968	112699901	+	0	NA	Intergenic	AluSq|SINE|Alu	-11291	NM_199512	151887		NM_178274	ENSG00000091986	CCDC80	CL2|DRO1|LINC01279|SSG1|URB|okuribin	coiled-coil domain containing 80	protein-coding
*-242	chr14	21214098	21266478	+	0	NA	intron (NM_001077443, intron 1 of 7)	intron (NM_001077443, intron 1 of 7)	29154	NM_004500	3183		NM_004500	ENSG00000092199	HNRNPC	C1|C2|HNRNP|HNRPC|MRD74|SNRPC	heterogeneous nuclear ribonucleoprotein C	protein-coding
*-252	chr14	103388362	103457151	+	0	NA	intron (NM_002376, intron 2 of 15)	L1ME3A|LINE|L1	37341	NM_001128918	4140		NM_002376	ENSG00000075413	MARK3	CTAK1|KP78|PAR1A|Par-1a|VIPB	microtubule affinity regulating kinase 3	protein-coding
*-120	chr1	203629785	203701601	+	0	NA	intron (NM_001365784, intron 1 of 20)	AluSx4|SINE|Alu	37756	NM_001365784	493		NM_001684	ENSG00000058668	ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	ATPase plasma membrane Ca2+ transporting 4	protein-coding
*-29	chr12	54220148	54286601	+	0	NA	intron (NM_012117, intron 2 of 4)	AluSz6|SINE|Alu	6171	NM_001127322	23468		NM_012117	ENSG00000094916	CBX5	HEL25|HP1|HP1A|HP1alpha	chromobox 5	protein-coding
